Language:,اللغة:
Too easy? Switch to,سهل؟ حول لـ
Too hard? Switch to,صعب؟ حول لـ
hard mode,صعب
easy mode,سهل
Score:,النتيجة:
Start Surah,سورة البداية
End Surah,سورة النهاية
Which surah is this from?,من أي سورة هذا المقطع؟
Select Surah,اختر سورة
Guess,اعتمد الإجابة
Hint,تلميح
Translate,ترجمة
Skip,تخطي
How To Play,كيفية اللعب
Select the "Start Surah" and "End Surah" at the top of the page.,أختر "سورة البداية" و "سورة النهاية" في قائمة الخيارات أعلاه.
Click on "Select Surah" to guess the surah.,انقر على "اختر السورة" لتوقع السورة.
Click on the "Hint" button to add another ayah to make it easier to guess.,انقر على زر "تلميح" لاضافة آية إضافية لتسهيل التوقع.
Click on the "Skip" button to move onto the next ayah if you can't figure out the answer.,انقر على زر "تخطي" للتخطي والذهاب لآية التالية اذا لم تكون قادر على معرفة السورة.
Click on the "Hint" button to add a word to the phrase to make it easier to guess.,انقر على زر "تلميح" لاضافة كلمة إضافية لتسهيل التوقع.
Click on the "Skip" button to move onto the next phrase if you can't figure out the answer.,انقر على زر "تخطي" للتخطي والذهاب للمقطع التالي اذا لم تكون قادر على معرفة السورة.
was from,جزء من
Correct! Good job!,ممتاز! اجابة صحيحة!
is from,جزء من
Incorrect. Try again.,إجابة غير صحيحة. يمكنك المحاولة ثانية.
No more hints. Already at the beginning of the surah!,لقد استنفذت كل التلميحات. لقد وصلت بداية السورة!
For any issues, feedback, or feature requests, please email,لأي مشاكل أو اقتراحات أو تعليقات متعلقة بالتطبيق، يرجى التواصل مع
